Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,3e-09,0.8437554418103829,428.0,0.011537943353969658
No Filter,3e-09,0.869910937493268,153.0,0.031305636352710345
No Filter,3e-09,0.8589094920705892,121.0,0.04009183974085005
No Filter,3e-09,0.8693571763004222,168.0,0.028528650798203867
No Filter,3e-09,0.8556021026282683,114.0,0.04271811334972707
No Filter,3e-09,0.8544100867881975,118.0,0.04132761891425345
No Filter,3e-09,0.8430977650752562,451.0,0.010958075247772968
No Filter,3e-09,0.8246727185635708,507.0,0.009965501785194758
No Filter,3e-09,0.8413041269312848,126.0,0.039306574174791886
No Filter,3e-09,0.8632137140499394,157.0,0.030744736442057323
No Filter,3e-09,0.8719678791035518,165.0,0.0289603847317022
No Filter,3e-09,0.8381748772215839,128.0,0.038836863544799025
No Filter,3e-09,0.8516284513523629,81.0,0.06040231410355203
No Filter,3e-09,0.8466259125317944,149.0,0.03303017944835776
No Filter,3e-09,0.8698712641854869,193.0,0.02481855344379932
No Filter,3e-09,0.8283044138949952,136.0,0.03698791698802258
No Filter,3e-09,0.8196429889834979,90.0,0.05648348966384972
No Filter,3e-09,0.8552540638117303,103.0,0.04729948227707225
No Filter,3e-09,0.8500780705133523,183.0,0.026784210885365128
No Filter,3e-09,0.8359627877654691,127.0,0.03924624329012082
No Filter,3e-09,0.8818467732707453,237.0,0.019936424948344245
No Filter,3e-09,0.8580003370933483,201.0,0.02416046242943847
No Filter,3e-09,0.8551462925456441,210.0,0.023202193606201946
No Filter,3e-09,0.8501395399384097,128.0,0.03829028271722503
No Filter,3e-09,0.8721431620800142,108.0,0.04423613988048527
No Filter,3e-09,0.8624003294419915,104.0,0.04645650192414199
No Filter,3e-09,0.8892698970541217,291.0,0.016101345835416562
No Filter,3e-09,0.8292797533273708,99.0,0.050751922880875384
No Filter,3e-09,0.881154145152299,971.0,0.004869873047896815
No Filter,3e-09,0.8795396730705581,180.0,0.026318480970091686
No Filter,3e-09,0.8709941672120275,115.0,0.04159830848689372
No Filter,3e-09,0.8708089305386921,111.0,0.043106514208939496
No Filter,3e-09,0.8630250851792686,106.0,0.04554696818860576
No Filter,3e-09,0.8441435342170408,155.0,0.03184496396698795
No Filter,3e-09,0.8861172429814792,109.0,0.04313909925234191
No Filter,3e-09,0.8300441215693465,85.0,0.05905662912286752
No Filter,3e-09,0.829716025650512,97.0,0.05177111822903911
No Filter,3e-09,0.8608179752950478,169.0,0.02864116811534927
No Filter,3e-09,0.8595859097371668,201.0,0.0241158965892401
No Filter,3e-09,0.8532832107134647,138.0,0.035384777686801136
No Filter,3e-09,0.8432821046547554,131.0,0.037717645851269715
No Filter,3e-09,0.8379460091835894,135.0,0.03683315773642168
No Filter,3e-09,0.8772852961396355,108.0,0.04397685346300335
No Filter,3e-09,0.8849110020691908,579.0,0.008132247728465072
No Filter,3e-09,0.8600632319970967,233.0,0.020792296300104676
No Filter,3e-09,1.1817719664829318,447.0,0.007887648550839297
No Filter,3e-09,0.8420293669459998,114.0,0.04340668988173562
No Filter,3e-09,0.8478540480835677,113.0,0.043489980882356456
No Filter,3e-09,0.8588906386932699,80.0,0.06064023868344142
No Filter,3e-09,0.835004271774279,98.0,0.050918310528373464
No Filter,3e-09,0.8419965786408812,152.0,0.03255628514073329
No Filter,3e-09,0.8615373713010193,256.0,0.018891857984161497
No Filter,3e-09,0.8648889398116907,199.0,0.02420891571945067
No Filter,3e-09,0.8439383024168228,334.0,0.014781945391593505
No Filter,3e-09,0.8585645100472742,168.0,0.028887272897201024
No Filter,3e-09,0.8473491410651928,129.0,0.03811857478425429
No Filter,3e-09,0.8653832321061259,119.0,0.04046069337052624
No Filter,3e-09,0.8473740591809735,131.0,0.03753550799846764
No Filter,3e-09,0.8434287032834522,147.0,0.03360648160475069
No Filter,3e-09,0.8439097173765315,146.0,0.03381737666691047
No Filter,3e-09,0.8522258404606557,100.0,0.04889157860332477
No Filter,4e-09,1.1667988965900282,112.0,0.031884141355554056
No Filter,4e-09,1.152236299720915,105.0,0.03443958473808824
No Filter,4e-09,1.1383209425258591,179.0,0.02044894944996308
No Filter,4e-09,1.1340547698939099,118.0,0.031136709972641036
No Filter,4e-09,1.1112271928759767,88.0,0.042609184829199356
No Filter,4e-09,1.1932567970439318,209.0,0.016707387878383464
No Filter,4e-09,1.1143026597946208,99.0,0.037770296712115285
No Filter,4e-09,1.1438311240899837,122.0,0.02985843342185022
No Filter,4e-09,1.1350721764605647,113.0,0.03248529662418693
No Filter,4e-09,1.1386630820383692,175.0,0.02091006917243806
No Filter,4e-09,1.1463804378001419,173.0,0.021009411558222557
No Filter,4e-09,1.1688660975389693,120.0,0.029705902408607248
No Filter,4e-09,1.1562213400332548,121.0,0.029782586184578266
No Filter,4e-09,1.1239309243452267,127.0,0.029190760961795372
No Filter,4e-09,1.1322376148193165,101.0,0.03643592552710291
No Filter,4e-09,1.1821065061214846,119.0,0.02962000921314828
No Filter,4e-09,1.1592639598434509,168.0,0.021394253734012873
No Filter,4e-09,1.0994284685510538,490.0,0.007734383458117038
No Filter,4e-09,1.146975451577858,121.0,0.030022666710623553
No Filter,4e-09,1.1320725425100842,539.0,0.006828506639761697
No Filter,4e-09,1.1731662907033713,110.0,0.032287654511516585
No Filter,4e-09,1.1036025671384728,98.0,0.038525650509280064
No Filter,4e-09,1.1465511491922675,101.0,0.03598105975612542
No Filter,4e-09,1.1601612846716007,111.0,0.03235544749983882
No Filter,4e-09,1.1919783569801299,141.0,0.024791412738428147
No Filter,4e-09,1.1989186454374836,286.0,0.012151587285931688
No Filter,4e-09,1.143700713011214,118.0,0.03087410374197311
No Filter,4e-09,1.0962701239175612,396.0,0.00959789498256614
No Filter,4e-09,1.1758776068000354,556.0,0.006373116345464573
No Filter,4e-09,1.1363459170132069,139.0,0.026379308215795604
No Filter,4e-09,1.149753562445247,152.0,0.02384187498706689
No Filter,4e-09,1.1352940250403587,101.0,0.03633783363836052
No Filter,4e-09,1.1051326375032342,95.0,0.03968722634225764
No Filter,4e-09,1.1594932274017105,201.0,0.017878228538895567
No Filter,4e-09,1.1477704782981581,161.0,0.022547989927949815
No Filter,4e-09,1.1299765499046248,125.0,0.029499137248597613
No Filter,4e-09,1.10850257727105,132.0,0.028475943324702047
No Filter,4e-09,1.1493701423604819,131.0,0.027673083373089553
No Filter,4e-09,1.1418444077994074,128.0,0.028508335383512155
No Filter,4e-09,1.1267037824306945,428.0,0.008640427629709025
No Filter,4e-09,1.164123813330532,153.0,0.0233936589532485
No Filter,4e-09,1.1468369371674336,121.0,0.03002629283378372
No Filter,4e-09,1.1609227025939586,168.0,0.021363685322175877
No Filter,4e-09,1.139956566146689,114.0,0.032062368591713505
No Filter,4e-09,1.139992986932263,118.0,0.030974519026032356
No Filter,4e-09,1.125228658070489,451.0,0.008210534529724997
No Filter,4e-09,1.1005790030682077,507.0,0.007467230817720186
No Filter,4e-09,1.1223565397863189,126.0,0.029463705958428243
No Filter,4e-09,1.1533439982231248,157.0,0.02301072201574032
No Filter,4e-09,1.1639983201977175,165.0,0.021694640631642698
No Filter,4e-09,1.1184893255087451,128.0,0.029103615556211954
No Filter,4e-09,1.1366782615033537,81.0,0.04525495996560433
No Filter,4e-09,1.1307701833160873,149.0,0.024730229209393557
No Filter,4e-09,1.1615275896318502,193.0,0.018586684166714853
No Filter,4e-09,1.1051502179482102,136.0,0.02772225386594143
No Filter,4e-09,1.0937870588380276,90.0,0.04232660820240335
No Filter,4e-09,1.1424898015590121,103.0,0.03540782104002656
No Filter,4e-09,1.134503645349482,183.0,0.02006927910984373
No Filter,4e-09,1.1149628922273092,127.0,0.029425552346940834
No Filter,4e-09,1.177878894636117,237.0,0.014925874036212382
No Filter,4e-09,1.1444145213750854,201.0,0.01811379052048499
No Filter,4e-09,1.141565817572862,210.0,0.017380749787563994
No Filter,4e-09,1.1346469859129789,128.0,0.0286891727008297
